Daerah,Tahun,DAU,IPM,TPAK,APBD,LPE
Lombok Barat,2016,784.74,66.55,66.83,1575.14,5.7
Lombok Tengah,2016,998.65,63.22,67.41,1850.27,5.65
Lombok Utara,2016,398.21,62.24,72.58,803.83,5.22
Lombok Timur,2016,1162.76,63.7,64.19,2378.11,5.23
Sumbawa Barat,2016,402.62,69.26,70.91,825.53,5.55
Sumbawa,2016,830.27,64.89,69.66,1523.35,5.42
Kota Bima,2016,464.12,73.67,67.02,1096.19,5.79
Dompu,2016,582.22,65.48,64,1096.19,5.19
Bima,2016,895.04,64.15,67.68,1623.87,5.3
Mataram,2016,609.02,77.2,63.31,1309.96,8.01
